pdb_id,seed,epoch,AUC,AUPR,LogAUC,MCC,recall_1,recall_5,recall_10,recall_25,recall_50,EF_1,EF_5,EF_10,EF_25,EF_50
2JK7,0,49,0.39811648797450017,0.015224881450792378,9.489001990217357,0.0,0.2653061224489796,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,1.0204081632653061,3.061224489795918,4.081632653061225,8.16326530612245,22.448979591836736
3C4F,0,49,0.5109698475847138,0.021062948361095298,15.059469143124057,0.0,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.819672131147541,6.557377049180328,10.655737704918032,23.770491803278688,50.0
3F07,0,49,0.43371531675725344,0.01733546181475723,10.89311254632883,0.0,0.18787878787878787,0.006060606060606061,0.006060606060606061,0.006060606060606061,0.006060606060606061,1.2121212121212122,2.4242424242424243,4.242424242424243,10.909090909090908,35.15151515151515
2F4J,0,49,0.5642118845534327,0.026274985174284116,17.968800813647086,0.0,0.0055248618784530384,0.07734806629834254,0.07734806629834254,0.07734806629834254,0.07734806629834254,0.5524861878453038,9.392265193370166,14.917127071823206,37.569060773480665,61.87845303867403
3OZJ,0,49,0.44413023039939065,0.015104586155307947,10.320488345270483,0.0,0.2767857142857143,0.7589285714285714,0.7589285714285714,0.7589285714285714,0.7589285714285714,0.0,1.7857142857142856,3.571428571428571,12.5,27.67857142857143
3B2R,0,49,0.5033517086952135,0.014325041203284285,14.634674796171723,0.0,0.12686567164179105,0.0037313432835820895,0.0037313432835820895,0.0037313432835820895,0.0037313432835820895,1.8656716417910446,7.462686567164178,9.328358208955224,22.388059701492537,51.49253731343284
1ZW5,0,49,0.524532955350815,0.11663542832238534,25.86920405775598,0.0,0.7647058823529411,0.3058823529411765,0.25882352941176473,0.2,0.03529411764705882,15.294117647058824,25.882352941176475,28.235294117647058,37.64705882352941,52.94117647058824
2RL5,0,49,0.5437619048320544,0.02388071627710056,16.925183723409447,0.0,0.9579207920792079,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,1.4851485148514851,7.920792079207921,13.861386138613863,31.18811881188119,54.70297029702971
1S3B,0,49,0.46468593794797,0.01991522568992534,12.247587699015877,0.0,0.024793388429752067,1.0,1.0,1.0,1.0,0.0,2.479338842975207,7.43801652892562,23.140495867768596,47.93388429752066
3D94,0,49,0.530473074397223,0.01640743207036625,15.136755121732332,0.0,0.10185185185185185,0.009259259259259259,0.009259259259259259,0.009259259259259259,0.009259259259259259,1.8518518518518516,5.555555555555555,9.25925925925926,23.14814814814815,56.481481481481474
3PY1,0,49,0.45682703355750054,0.019424833199101828,13.79849736021568,0.0,0.3905579399141631,0.004291845493562232,0.004291845493562232,0.004291845493562232,0.004291845493562232,1.2875536480686696,4.935622317596566,11.158798283261802,23.390557939914164,43.13304721030043
1S9J,0,49,0.5525141043828421,0.022508946806172,16.38962359253103,0.0,0.008771929824561403,0.043859649122807015,0.043859649122807015,0.043859649122807015,0.043859649122807015,0.0,7.017543859649122,14.035087719298245,25.438596491228072,62.28070175438597
1J4H,0,49,0.5823734598107857,0.027670157924052283,18.18880542211238,0.0,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.9009009009009009,6.306306306306306,22.52252252252252,34.234234234234236,57.65765765765766
2FSZ,0,49,0.5510865036017176,0.02218884582008184,16.011331263825014,0.0,0.00558659217877095,0.0782122905027933,0.0782122905027933,0.0782122905027933,0.0782122905027933,0.5586592178770949,6.70391061452514,10.893854748603351,27.932960893854748,68.99441340782123
2PJT,0,49,0.5706644472145467,0.023935146176386632,17.69252230684102,0.0,0.980806142034549,0.02111324376199616,0.003838771593090211,0.0019193857965451055,0.0019193857965451055,2.495201535508637,7.485604606525912,13.24376199616123,28.21497120921305,61.80422264875239
1KVO,0,49,0.4565258903281245,0.021582931623882577,13.97353651457362,0.0,0.08791208791208792,0.054945054945054944,0.04395604395604396,0.04395604395604396,0.04395604395604396,4.395604395604396,6.593406593406594,8.791208791208792,18.681318681318682,39.56043956043956
1UWH,0,49,0.3986928404956972,0.016444703572652587,12.567945153119474,0.0,0.5789473684210527,0.03759398496240601,0.03759398496240601,0.03759398496240601,0.03759398496240601,0.7518796992481203,6.7669172932330826,12.030075187969924,23.308270676691727,40.6015037593985
2I4Z,0,49,0.4566105786690684,0.017934782357468534,13.473768764240052,0.0,0.006521739130434782,0.002173913043478261,0.002173913043478261,0.002173913043478261,0.002173913043478261,1.0869565217391304,5.217391304347826,10.0,22.39130434782609,42.391304347826086
3DT3,0,49,0.2914953679171569,0.013799212557530069,8.47009434656093,0.0,0.061170212765957445,0.007978723404255319,0.007978723404255319,0.007978723404255319,0.007978723404255319,1.8617021276595744,4.25531914893617,5.053191489361701,11.96808510638298,23.93617021276596
3FRJ,0,49,0.4776176250625261,0.02043348181419478,14.662796657477802,0.0,0.003067484662576687,0.003067484662576687,0.003067484662576687,0.003067484662576687,0.003067484662576687,1.5337423312883436,7.975460122699387,11.65644171779141,25.4601226993865,46.31901840490797
3KBA,0,49,0.5573890240654777,0.022175003641237513,17.499435854640463,0.0,0.004739336492890996,0.004739336492890996,0.004739336492890996,0.004739336492890996,0.004739336492890996,0.47393364928909953,7.109004739336493,12.796208530805686,38.388625592417064,62.55924170616114
2QS1,0,49,0.5719340986725778,0.024523875879819492,18.123249341096006,0.0,0.011494252873563218,0.3793103448275862,0.3793103448275862,0.3793103448275862,0.3793103448275862,0.0,4.597701149425287,14.942528735632186,42.5287356321839,62.06896551724138
3NFA,0,49,0.46455595380326564,0.01811936952138402,13.262036086465818,0.0,0.27956989247311825,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,1.0752688172043012,4.301075268817205,10.75268817204301,19.35483870967742,41.935483870967744
3LN1,0,49,0.348059541741801,0.015107589758800614,9.135713028899435,0.0,0.0440251572327044,0.9937106918238994,0.9937106918238994,0.9937106918238994,0.9937106918238994,0.3144654088050315,2.20125786163522,5.345911949685535,14.465408805031446,31.132075471698112
1PME,0,49,0.5868643141370414,0.029299242212604684,19.124054879564873,0.0,0.922077922077922,0.11688311688311688,0.03896103896103896,0.03896103896103896,0.03896103896103896,2.5974025974025974,11.688311688311687,18.181818181818183,37.66233766233766,64.93506493506493
3MAX,0,49,0.47209868456102794,0.024074420871951212,15.61358093490528,0.0,0.40217391304347827,0.10869565217391304,0.010869565217391304,0.010869565217391304,0.010869565217391304,2.717391304347826,10.869565217391305,16.847826086956523,25.543478260869566,41.30434782608695
2E1W,0,49,0.5550150891829345,0.022255877518545693,14.885884160172655,0.0,0.03225806451612903,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.6559139784946236,0.0,1.0752688172043012,8.60215053763441,23.655913978494624,67.74193548387096
3KRJ,0,49,0.5064908059293586,0.02311334522980469,14.289350397810177,0.0,0.07936507936507936,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.7936507936507936,3.968253968253968,5.555555555555555,22.22222222222222,51.587301587301596
2HDQ,0,49,0.3869245980884023,0.016692102775258285,9.678958933260047,0.0,0.2978723404255319,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,2.127659574468085,4.25531914893617,6.382978723404255,8.51063829787234,17.02127659574468
3BWM,0,49,0.5636707152496626,0.031015925572397858,19.23097503400059,0.0,0.7631578947368421,0.42105263157894735,0.02631578947368421,0.02631578947368421,0.02631578947368421,2.631578947368421,7.894736842105263,18.421052631578945,42.10526315789473,57.89473684210527
1MTB,0,49,0.5940758970156675,0.031177536858820444,19.749779384371863,0.0,0.0019120458891013384,0.12237093690248566,0.08030592734225621,0.08030592734225621,0.08030592734225621,4.015296367112811,12.237093690248566,18.164435946462714,32.122370936902485,63.67112810707457
2B8T,0,49,0.48437779309992596,0.02448024969661562,15.014457132117865,0.0,0.2807017543859649,0.07017543859649122,0.03508771929824561,0.03508771929824561,0.03508771929824561,3.508771929824561,8.771929824561402,14.035087719298245,22.807017543859647,40.35087719298245
3G6Z,0,49,0.5586721324839578,0.023537148304852554,15.928399662017153,0.0,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.9803921568627451,1.9607843137254901,3.9215686274509802,41.17647058823529,62.745098039215684
3G5D,0,49,0.4648645925209359,0.012777693178514349,13.716837340135323,0.0,0.026785714285714284,0.008928571428571428,0.008928571428571428,0.008928571428571428,0.008928571428571428,1.1904761904761905,4.761904761904762,11.904761904761903,22.61904761904762,45.535714285714285
3G0F,0,49,0.5272489149398404,0.01618400143009404,16.34651325670095,0.0,0.9716981132075472,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.009433962264150943,1.8867924528301887,8.49056603773585,14.150943396226415,27.358490566037734,51.886792452830186
